timestamp,Temperature,Precipitation,Wind Speed,Wind Direction
20200820T0900,23.3708,0.3,3.4631999,180.0
20200820T1000,22.8208,0.3,2.1477854,187.12502
20200820T1100,23.670801,0.2,3.013972,135.0
20200820T1200,23.8708,0.0,3.9603205,132.27368
20200820T1300,26.3208,0.0,3.996,180.0
20200820T1400,25.5508,0.0,2.664,233.1301
20200820T1500,25.9708,0.0,3.4734309,265.6013
20200820T1600,24.5408,0.0,3.0374272,254.74487
20200820T1700,24.0608,0.0,1.7057923,231.3402
20200820T1800,22.4808,0.4,3.8420756,213.69006
20200820T1900,21.6108,2.5,5.7198505,207.75854
20200820T2000,21.1508,4.2,5.4919763,194.03624
20200820T2100,21.0108,5.0,4.5288,180.0
20200820T2200,20.7808,3.3,2.9784424,169.69516
20200820T2300,20.6608,2.3,1.5533656,149.03624
20200821T0000,20.3108,0.2,1.4346079,158.1986
20200821T0100,20.1608,0.0,1.332,126.869896
20200821T0200,20.000801,0.0,0.2664,360.0
20200821T0300,19.8808,0.0,0.0,180.0
20200821T0400,19.8708,0.0,2.028842,156.8014
20200821T0500,19.9508,0.0,3.7105224,111.03751
20200821T0600,21.1908,0.0,3.0374272,164.74487
20200821T0700,22.8808,0.1,1.1302395,135.0
20200821T0800,23.8008,0.1,3.767465,135.0
20200821T0900,24.1508,0.0,4.336678,132.51044
20200821T1000,24.2208,1.1,4.5833187,144.46231
20200821T1100,23.8408,2.6,4.4097047,154.98311
20200821T1200,23.4808,2.7,4.1698194,153.43495
20200821T1300,23.1108,2.5,3.9333487,151.69923
20200821T1400,22.1608,0.2,3.996,143.1301
20200821T1500,21.4808,0.2,3.6234317,126.027374
20200821T1600,21.5508,0.0,3.4115846,128.6598
20200821T1700,21.7808,0.0,2.742756,150.94539
20200821T1800,21.5708,0.0,3.207881,221.63354
20200821T1900,21.6808,0.4,3.4734309,212.47119
20200821T2000,21.2708,0.3,2.8692157,201.8014
20200821T2100,21.3808,0.2,2.5272923,161.56505
20200821T2200,21.0308,0.0,3.0374274,127.874985
20200821T2300,20.3908,0.0,3.3379824,118.61046
20200822T0000,20.000801,0.0,3.4632,112.61986
20200822T0100,19.5508,0.0,3.207881,94.76363
20200822T0200,19.5608,0.0,2.6772869,95.71059
20200822T0300,19.8208,0.0,1.8837326,98.1301
20200822T0400,19.9708,0.0,0.79920006,89.99999
20200822T0500,20.1108,0.0,0.5956885,153.43495
20200822T0600,21.0708,0.0,3.2408962,189.46233
20200822T0700,22.3608,0.0,2.9784424,190.30484
20200822T0800,23.6208,0.0,3.2408962,170.53767
20200822T0900,23.5908,1.2,2.8815567,146.30994
20200822T1000,23.2708,2.3,3.1067312,149.03624
20200822T1100,23.080801,2.4,3.2951863,165.96376
20200822T1200,22.7008,2.3,2.9424841,185.19443
20200822T1300,22.2108,2.6,2.382754,206.56505
20200822T1400,21.7208,2.2,1.9210378,236.30994
20200822T1500,21.3208,0.6,1.1302395,225.0
20200822T1600,21.5908,0.7,1.332,216.8699
20200822T1700,21.4108,0.0,2.8692157,201.8014
20200822T1800,21.1208,0.0,3.4115846,231.3402
20200822T1900,20.8708,0.0,2.8318708,228.81409
20200822T2000,21.0908,0.6,2.664,216.8699
20200822T2100,21.0408,1.1,3.700947,210.25644
20200822T2200,20.7608,1.1,5.3611965,206.56505
20200822T2300,20.5408,1.0,4.912173,192.52881
20200823T0000,20.3508,0.6,4.7952,180.0
20200823T0100,20.1408,0.0,4.861344,170.53767
20200823T0200,19.9408,0.0,4.897704,157.61986
20200823T0300,19.8008,0.0,4.3692846,142.4314
20200823T0400,19.7708,0.0,3.4734309,122.47119
20200823T0500,19.670801,0.0,2.3976,89.99999
20200823T0600,20.8608,0.0,2.382754,206.56505
20200823T0700,21.7708,0.0,3.3907182,225.0
20200823T0800,23.2208,0.0,2.1477854,209.74489
20200823T0900,24.8708,0.0,2.4560864,192.52881
20200823T1000,23.920801,0.2,3.0374274,217.87498
20200823T1100,22.750801,0.0,4.3038235,248.1986
20200823T1200,21.8908,0.0,4.912173,257.4712
20200823T1300,21.3808,0.0,4.5600333,263.29016
20200823T1400,21.5408,0.0,4.652476,256.7595
20200823T1500,22.8208,0.0,4.652476,246.37064
20200823T1600,22.7908,0.0,4.066419,238.3925
20200823T1700,22.7408,0.0,3.6234317,233.97263
20200823T1800,21.4008,0.0,2.5132127,237.99463
20200823T1900,20.7308,0.0,1.9210378,236.30994
20200823T2000,20.0208,0.0,1.191377,243.43495
20200823T2100,19.830801,0.0,1.1302395,315.0
20200823T2200,19.500801,0.0,1.7870656,296.56506
20200823T2300,19.6508,0.0,2.2916594,305.5377
